,state,date,abs
0,Johor,2000,67183
1,Johor,2001,61432
2,Johor,2002,59699
3,Johor,2003,58230
4,Johor,2004,57339
5,Johor,2005,56524
6,Johor,2006,56737
7,Johor,2007,57780
8,Johor,2008,57838
9,Johor,2009,57849
10,Johor,2010,56064
11,Johor,2011,58167
12,Johor,2012,60444
13,Johor,2013,57402
14,Johor,2014,60443
15,Johor,2015,60543
16,Johor,2016,59561
17,Johor,2017,61085
18,Johor,2018,61084
19,Johor,2019,60261
20,Johor,2020,56908
21,Johor,2021,49990
22,Johor,2022,48254
23,Kedah,2000,41014
24,Kedah,2001,38073
25,Kedah,2002,36604
26,Kedah,2003,35407
27,Kedah,2004,35059
28,Kedah,2005,34254
29,Kedah,2006,33864
30,Kedah,2007,33963
31,Kedah,2008,35415
32,Kedah,2009,36019
33,Kedah,2010,35128
34,Kedah,2011,35937
35,Kedah,2012,36390
36,Kedah,2013,35032
37,Kedah,2014,36505
38,Kedah,2015,36784
39,Kedah,2016,35967
40,Kedah,2017,36693
41,Kedah,2018,35643
42,Kedah,2019,34511
43,Kedah,2020,33828
44,Kedah,2021,33040
45,Kedah,2022,30796
46,Kelantan,2000,40404
47,Kelantan,2001,38186
48,Kelantan,2002,37297
49,Kelantan,2003,35686
50,Kelantan,2004,35113
51,Kelantan,2005,34088
52,Kelantan,2006,33659
53,Kelantan,2007,33800
54,Kelantan,2008,34842
55,Kelantan,2009,35715
56,Kelantan,2010,36009
57,Kelantan,2011,37679
58,Kelantan,2012,37025
59,Kelantan,2013,36413
60,Kelantan,2014,39279
61,Kelantan,2015,39108
62,Kelantan,2016,38455
63,Kelantan,2017,39122
64,Kelantan,2018,38360
65,Kelantan,2019,36858
66,Kelantan,2020,36275
67,Kelantan,2021,34764
68,Kelantan,2022,33808
69,Melaka,2000,15304
70,Melaka,2001,14317
71,Melaka,2002,13810
72,Melaka,2003,13898
73,Melaka,2004,13548
74,Melaka,2005,13341
75,Melaka,2006,12946
76,Melaka,2007,13444
77,Melaka,2008,13619
78,Melaka,2009,13456
79,Melaka,2010,13010
80,Melaka,2011,13976
81,Melaka,2012,14278
82,Melaka,2013,13692
83,Melaka,2014,14568
84,Melaka,2015,14554
85,Melaka,2016,14402
86,Melaka,2017,14389
87,Melaka,2018,14388
88,Melaka,2019,14136
89,Melaka,2020,13855
90,Melaka,2021,13192
91,Melaka,2022,13105
92,NegeriSembilan,2000,19243
93,NegeriSembilan,2001,17670
94,NegeriSembilan,2002,17647
95,NegeriSembilan,2003,17272
96,NegeriSembilan,2004,17085
97,NegeriSembilan,2005,16838
98,NegeriSembilan,2006,16622
99,NegeriSembilan,2007,17195
100,NegeriSembilan,2008,17351
101,NegeriSembilan,2009,17360
102,NegeriSembilan,2010,16939
103,NegeriSembilan,2011,17670
104,NegeriSembilan,2012,17903
105,NegeriSembilan,2013,17509
106,NegeriSembilan,2014,18676
107,NegeriSembilan,2015,18423
108,NegeriSembilan,2016,18036
109,NegeriSembilan,2017,18078
110,NegeriSembilan,2018,18177
111,NegeriSembilan,2019,17464
112,NegeriSembilan,2020,17120
113,NegeriSembilan,2021,16777
114,NegeriSembilan,2022,15991
115,Pahang,2000,29555
116,Pahang,2001,27613
117,Pahang,2002,26810
118,Pahang,2003,26144
119,Pahang,2004,25899
120,Pahang,2005,25692
121,Pahang,2006,24809
122,Pahang,2007,24958
123,Pahang,2008,25658
124,Pahang,2009,26057
125,Pahang,2010,25946
126,Pahang,2011,27079
127,Pahang,2012,27411
128,Pahang,2013,26968
129,Pahang,2014,28743
130,Pahang,2015,28059
131,Pahang,2016,27626
132,Pahang,2017,27555
133,Pahang,2018,27006
134,Pahang,2019,25887
135,Pahang,2020,25344
136,Pahang,2021,24507
137,Pahang,2022,23568
138,Perak,2000,48589
139,Perak,2001,43533
140,Perak,2002,42289
141,Perak,2003,39822
142,Perak,2004,39012
143,Perak,2005,37369
144,Perak,2006,36835
145,Perak,2007,36628
146,Perak,2008,37174
147,Perak,2009,37203
148,Perak,2010,36026
149,Perak,2011,37522
150,Perak,2012,37712
151,Perak,2013,35427
152,Perak,2014,36586
153,Perak,2015,36284
154,Perak,2016,35685
155,Perak,2017,34838
156,Perak,2018,33869
157,Perak,2019,33005
158,Perak,2020,31582
159,Perak,2021,30816
160,Perak,2022,29543
161,Perlis,2000,4651
162,Perlis,2001,4340
163,Perlis,2002,4225
164,Perlis,2003,4058
165,Perlis,2004,3964
166,Perlis,2005,3932
167,Perlis,2006,3891
168,Perlis,2007,3946
169,Perlis,2008,4175
170,Perlis,2009,4237
171,Perlis,2010,4114
172,Perlis,2011,4161
173,Perlis,2012,4143
174,Perlis,2013,4050
175,Perlis,2014,4509
176,Perlis,2015,4315
177,Perlis,2016,4392
178,Perlis,2017,4447
179,Perlis,2018,4371
180,Perlis,2019,4060
181,Perlis,2020,4101
182,Perlis,2021,4076
183,Perlis,2022,3746
184,PulauPinang,2000,27337
185,PulauPinang,2001,24712
186,PulauPinang,2002,24775
187,PulauPinang,2003,23467
188,PulauPinang,2004,22943
189,PulauPinang,2005,22559
190,PulauPinang,2006,22003
191,PulauPinang,2007,22429
192,PulauPinang,2008,22952
193,PulauPinang,2009,22777
194,PulauPinang,2010,21172
195,PulauPinang,2011,22353
196,PulauPinang,2012,23794
197,PulauPinang,2013,21499
198,PulauPinang,2014,22877
199,PulauPinang,2015,22242
200,PulauPinang,2016,21781
201,PulauPinang,2017,21464
202,PulauPinang,2018,20705
203,PulauPinang,2019,20200
204,PulauPinang,2020,19645
205,PulauPinang,2021,18571
206,PulauPinang,2022,17731
207,Sabah,2000,49308
208,Sabah,2001,48990
209,Sabah,2002,46119
210,Sabah,2003,44388
211,Sabah,2004,46170
212,Sabah,2005,47160
213,Sabah,2006,46142
214,Sabah,2007,47017
215,Sabah,2008,50272
216,Sabah,2009,52782
217,Sabah,2010,54134
218,Sabah,2011,54990
219,Sabah,2012,58185
220,Sabah,2013,56823
221,Sabah,2014,57397
222,Sabah,2015,54699
223,Sabah,2016,52071
224,Sabah,2017,52528
225,Sabah,2018,53025
226,Sabah,2019,52973
227,Sabah,2020,49587
228,Sabah,2021,41608
229,Sabah,2022,43617
230,Sarawak,2000,47920
231,Sarawak,2001,46098
232,Sarawak,2002,44929
233,Sarawak,2003,44068
234,Sarawak,2004,43545
235,Sarawak,2005,43241
236,Sarawak,2006,42892
237,Sarawak,2007,42549
238,Sarawak,2008,43426
239,Sarawak,2009,43753
240,Sarawak,2010,41474
241,Sarawak,2011,43383
242,Sarawak,2012,43178
243,Sarawak,2013,40413
244,Sarawak,2014,41049
245,Sarawak,2015,39754
246,Sarawak,2016,37985
247,Sarawak,2017,37654
248,Sarawak,2018,36624
249,Sarawak,2019,36672
250,Sarawak,2020,35449
251,Sarawak,2021,31274
252,Sarawak,2022,30937
253,Selangor,2000,91635
254,Selangor,2001,87758
255,Selangor,2002,89735
256,Selangor,2003,89933
257,Selangor,2004,93176
258,Selangor,2005,92456
259,Selangor,2006,94737
260,Selangor,2007,97055
261,Selangor,2008,100284
262,Selangor,2009,103023
263,Selangor,2010,98429
264,Selangor,2011,103686
265,Selangor,2012,107946
266,Selangor,2013,103173
267,Selangor,2014,108932
268,Selangor,2015,108131
269,Selangor,2016,104661
270,Selangor,2017,103987
271,Selangor,2018,102125
272,Selangor,2019,98836
273,Selangor,2020,93577
274,Selangor,2021,90118
275,Selangor,2022,83658
276,Trengganu,2000,24833
277,Trengganu,2001,24060
278,Trengganu,2002,23205
279,Trengganu,2003,22269
280,Trengganu,2004,22542
281,Trengganu,2005,21966
282,Trengganu,2006,21907
283,Trengganu,2007,22366
284,Trengganu,2008,23339
285,Trengganu,2009,23887
286,Trengganu,2010,24262
287,Trengganu,2011,24776
288,Trengganu,2012,25698
289,Trengganu,2013,25465
290,Trengganu,2014,27013
291,Trengganu,2015,27629
292,Trengganu,2016,27521
293,Trengganu,2017,27911
294,Trengganu,2018,28242
295,Trengganu,2019,27085
296,Trengganu,2020,27177
297,Trengganu,2021,26337
298,Trengganu,2022,25304
299,KualaLumpur,2000,29382
300,KualaLumpur,2001,27211
301,KualaLumpur,2002,25928
302,KualaLumpur,2003,25173
303,KualaLumpur,2004,24892
304,KualaLumpur,2005,23544
305,KualaLumpur,2006,24067
306,KualaLumpur,2007,24936
307,KualaLumpur,2008,25178
308,KualaLumpur,2009,25870
309,KualaLumpur,2010,24471
310,KualaLumpur,2011,25525
311,KualaLumpur,2012,26982
312,KualaLumpur,2013,25333
313,KualaLumpur,2014,27100
