,state,date,sex,ethnicity,abs
20,Johor,2020-01-01,both,overall,56908
43,Kedah,2020-01-01,both,overall,33828
66,Kelantan,2020-01-01,both,overall,36275
89,Melaka,2020-01-01,both,overall,13855
112,NegeriSembilan,2020-01-01,both,overall,17120
135,Pahang,2020-01-01,both,overall,25344
158,Perak,2020-01-01,both,overall,31582
181,Perlis,2020-01-01,both,overall,4101
204,PulauPinang,2020-01-01,both,overall,19645
227,Sabah,2020-01-01,both,overall,49587
250,Sarawak,2020-01-01,both,overall,35449
273,Selangor,2020-01-01,both,overall,93577
296,Trengganu,2020-01-01,both,overall,27177
319,KualaLumpur,2020-01-01,both,overall,23199
342,Labuan,2020-01-01,both,overall,1714
355,Putrajaya,2020-01-01,both,overall,2143
378,Johor,2020-01-01,male,overall,29379
401,Johor,2020-01-01,female,overall,27529
424,Kedah,2020-01-01,male,overall,17516
447,Kedah,2020-01-01,female,overall,16312
470,Kelantan,2020-01-01,male,overall,18739
493,Kelantan,2020-01-01,female,overall,17536
516,Melaka,2020-01-01,male,overall,7139
539,Melaka,2020-01-01,female,overall,6716
562,NegeriSembilan,2020-01-01,male,overall,8880
585,NegeriSembilan,2020-01-01,female,overall,8240
608,Pahang,2020-01-01,male,overall,13032
631,Pahang,2020-01-01,female,overall,12312
654,Perak,2020-01-01,male,overall,16472
677,Perak,2020-01-01,female,overall,15110
700,Perlis,2020-01-01,male,overall,2104
723,Perlis,2020-01-01,female,overall,1997
746,PulauPinang,2020-01-01,male,overall,10188
769,PulauPinang,2020-01-01,female,overall,9457
792,Sabah,2020-01-01,male,overall,25952
815,Sabah,2020-01-01,female,overall,23635
838,Sarawak,2020-01-01,male,overall,18440
861,Sarawak,2020-01-01,female,overall,17009
884,Selangor,2020-01-01,male,overall,48318
907,Selangor,2020-01-01,female,overall,45259
930,Trengganu,2020-01-01,male,overall,14118
953,Trengganu,2020-01-01,female,overall,13059
976,KualaLumpur,2020-01-01,male,overall,12113
999,KualaLumpur,2020-01-01,female,overall,11086
1022,Labuan,2020-01-01,male,overall,851
1045,Labuan,2020-01-01,female,overall,863
1058,Putrajaya,2020-01-01,male,overall,1073
1071,Putrajaya,2020-01-01,female,overall,1070
1094,Johor,2020-01-01,both,bumi_malay,39718
1117,Kedah,2020-01-01,both,bumi_malay,29683
1140,Kelantan,2020-01-01,both,bumi_malay,34808
1163,Melaka,2020-01-01,both,bumi_malay,11206
1186,NegeriSembilan,2020-01-01,both,bumi_malay,12797
1209,Pahang,2020-01-01,both,bumi_malay,20619
1232,Perak,2020-01-01,both,bumi_malay,23019
1255,Perlis,2020-01-01,both,bumi_malay,3806
1278,PulauPinang,2020-01-01,both,bumi_malay,11692
1301,Sabah,2020-01-01,both,bumi_malay,8315
1324,Sarawak,2020-01-01,both,bumi_malay,10015
1347,Selangor,2020-01-01,both,bumi_malay,65154
1370,Trengganu,2020-01-01,both,bumi_malay,26491
1393,KualaLumpur,2020-01-01,both,bumi_malay,13107
1416,Labuan,2020-01-01,both,bumi_malay,629
1429,Putrajaya,2020-01-01,both,bumi_malay,2044
1452,Johor,2020-01-01,male,bumi_malay,20583
1475,Johor,2020-01-01,female,bumi_malay,19135
1498,Kedah,2020-01-01,male,bumi_malay,15371
1521,Kedah,2020-01-01,female,bumi_malay,14312
1544,Kelantan,2020-01-01,male,bumi_malay,17988
1567,Kelantan,2020-01-01,female,bumi_malay,16820
1590,Melaka,2020-01-01,male,bumi_malay,5798
1613,Melaka,2020-01-01,female,bumi_malay,5408
1636,NegeriSembilan,2020-01-01,male,bumi_malay,6619
1659,NegeriSembilan,2020-01-01,female,bumi_malay,6178
1682,Pahang,2020-01-01,male,bumi_malay,10651
1705,Pahang,2020-01-01,female,bumi_malay,9968
1728,Perak,2020-01-01,male,bumi_malay,12012
1751,Perak,2020-01-01,female,bumi_malay,11007
1774,Perlis,2020-01-01,male,bumi_malay,1955
1797,Perlis,2020-01-01,female,bumi_malay,1851
1820,PulauPinang,2020-01-01,male,bumi_malay,6032
1843,PulauPinang,2020-01-01,female,bumi_malay,5660
1866,Sabah,2020-01-01,male,bumi_malay,4367
1889,Sabah,2020-01-01,female,bumi_malay,3948
1912,Sarawak,2020-01-01,male,bumi_malay,5254
1935,Sarawak,2020-01-01,female,bumi_malay,4761
1958,Selangor,2020-01-01,male,bumi_malay,33745
1981,Selangor,2020-01-01,female,bumi_malay,31409
2004,Trengganu,2020-01-01,male,bumi_malay,13749
2027,Trengganu,2020-01-01,female,bumi_malay,12742
2050,KualaLumpur,2020-01-01,male,bumi_malay,6815
2073,KualaLumpur,2020-01-01,female,bumi_malay,6292
2096,Labuan,2020-01-01,male,bumi_malay,291
2119,Labuan,2020-01-01,female,bumi_malay,338
2132,Putrajaya,2020-01-01,male,bumi_malay,1018
2145,Putrajaya,2020-01-01,female,bumi_malay,1026
2168,Johor,2020-01-01,both,bumi_other,1490
2191,Kedah,2020-01-01,both,bumi_other,95
2214,Kelantan,2020-01-01,both,bumi_other,507
2237,Melaka,2020-01-01,both,bumi_other,200
2260,NegeriSembilan,2020-01-01,both,bumi_other,432
2283,Pahang,2020-01-01,both,bumi_other,2004
2306,Perak,2020-01-01,both,bumi_other,1362
2329,Perlis,2020-01-01,both,bumi_other,15
2352,PulauPinang,2020-01-01,both,bumi_other,100
2375,Sabah,2020-01-01,both,bumi_other,32946
2398,Sarawak,2020-01-01,both,bumi_other,18923
2421,Selangor,2020-01-01,both,bumi_other,2084
2444,Trengganu,2020-01-01,both,bumi_other,59
2467,KualaLumpur,2020-01-01,both,bumi_other,447
2490,Labuan,2020-01-01,both,bumi_other,803
2503,Putrajaya,2020-01-01,both,bumi_other,37
2526,Johor,2020-01-01,male,bumi_other,755
2549,Johor,2020-01-01,female,bumi_other,735
2572,Kedah,2020-01-01,male,bumi_other,44
2595,Kedah,2020-01-01,female,bumi_other,51
2618,Kelantan,2020-01-01,male,bumi_other,259
2641,Kelantan,2020-01-01,female,bumi_other,248
2664,Melaka,2020-01-01,male,bumi_other,92
2687,Melaka,2020-01-01,female,bumi_other,108
2710,NegeriSembilan,2020-01-01,male,bumi_other,237
2733,NegeriSembilan,2020-01-01,female,bumi_other,195
2756,Pahang,2020-01-01,male,bumi_other,1012
2779,Pahang,2020-01-01,female,bumi_other,992
2802,Perak,2020-01-01,male,bumi_other,708
2825,Perak,2020-01-01,female,bumi_other,654
2848,Perlis,2020-01-01,male,bumi_other,8
2871,Perlis,2020-01-01,female,bumi_other,7
2894,PulauPinang,2020-01-01,male,bumi_other,52
2917,PulauPinang,2020-01-01,female,bumi_other,48
2940,Sabah,2020-01-01,male,bumi_other,17212
2963,Sabah,2020-01-01,female,bumi_other,15734
2986,Sarawak,2020-01-01,male,bumi_other,9844
3009,Sarawak,2020-01-01,female,bumi_other,9079
3032,Selangor,2020-01-01,male,bumi_other,1078
3055,Selangor,2020-01-01,female,bumi_other,1006
3078,Trengganu,2020-01-01,male,bumi_other,28
3101,Trengganu,2020-01-01,female,bumi_other,31
3124,KualaLumpur,2020-01-01,male,bumi_other,226
3147,KualaLumpur,2020-01-01,female,bumi_other,221
3170,Labuan,2020-01-01,male,bumi_other,431
3193,Labuan,2020-01-01,female,bumi_other,372
3206,Putrajaya,2020-01-01,male,bumi_other,23
3219,Putrajaya,2020-01-01,female,bumi_other,14
3242,Johor,2020-01-01,both,chinese,10467
3265,Kedah,2020-01-01,both,chinese,1659
3288,Kelantan,2020-01-01,both,chinese,398
3311,Melaka,2020-01-01,both,chinese,1593
3334,NegeriSembilan,2020-01-01,both,chinese,1613
3357,Pahang,2020-01-01,both,chinese,1497
3380,Perak,2020-01-01,both,chinese,4004
3403,Perlis,2020-01-01,both,chinese,128
3426,PulauPinang,2020-01-01,both,chinese,5052
3449,Sabah,2020-01-01,both,chinese,1440
3472,Sarawak,2020-01-01,both,chinese,5775
3495,Selangor,2020-01-01,both,chinese,12598
3518,Trengganu,2020-01-01,both,chinese,151
3541,KualaLumpur,2020-01-01,both,chinese,4843
3564,Labuan,2020-01-01,both,chinese,54
3577,Putrajaya,2020-01-01,both,chinese,15
3600,Johor,2020-01-01,male,chinese,5424
3623,Johor,2020-01-01,female,chinese,5043
3646,Kedah,2020-01-01,male,chinese,870
3669,Kedah,2020-01-01,female,chinese,789
3692,Kelantan,2020-01-01,male,chinese,201
3715,Kelantan,2020-01-01,female,chinese,197
3738,Melaka,2020-01-01,male,chinese,805
3761,Melaka,2020-01-01,female,chinese,788
3784,NegeriSembilan,2020-01-01,male,chinese,841
3807,NegeriSembilan,2020-01-01,female,chinese,772
3830,Pahang,2020-01-01,male,chinese,775
3853,Pahang,2020-01-01,female,chinese,722
3876,Perak,2020-01-01,male,chinese,2072
3899,Perak,2020-01-01,female,chinese,1932
3922,Perlis,2020-01-01,male,chinese,57
3945,Perlis,2020-01-01,female,chinese,71
3968,PulauPinang,2020-01-01,male,chinese,2671
3991,PulauPinang,2020-01-01,female,chinese,2381
4014,Sabah,2020-01-01,male,chinese,765
4037,Sabah,2020-01-01,female,chinese,675
4060,Sarawak,2020-01-01,male,chinese,2946
4083,Sarawak,2020-01-01,female,chinese,2829
4106,Selangor,2020-01-01,male,chinese,6431
4129,Selangor,2020-01-01,female,chinese,6167
4152,Trengganu,2020-01-01,male,chinese,78
4175,Trengganu,2020-01-01,female,chinese,73
4198,KualaLumpur,2020-01-01,male,chinese,2541
4221,KualaLumpur,2020-01-01,female,chinese,2302
4244,Labuan,2020-01-01,male,chinese,27
4267,Labuan,2020-01-01,female,chinese,27
4280,Putrajaya,2020-01-01,male,chinese,7
4293,Putrajaya,2020-01-01,female,chinese,8
4316,Johor,2020-01-01,both,indian,3135
4339,Kedah,2020-01-01,both,indian,1287
4362,Kelantan,2020-01-01,both,indian,20
4385,Melaka,2020-01-01,both,indian,562
4408,NegeriSembilan,2020-01-01,both,indian,1866
4431,Pahang,2020-01-01,both,indian,554
4454,Perak,2020-01-01,both,indian,2622
4477,Perlis,2020-01-01,both,indian,25
4500,PulauPinang,2020-01-01,both,indian,1645
4523,Sabah,2020-01-01,both,indian,75
4546,Sarawak,2020-01-01,both,indian,48
4569,Selangor,2020-01-01,both,indian,7220
4592,Trengganu,2020-01-01,both,indian,12
4615,KualaLumpur,2020-01-01,both,indian,1357
4638,Labuan,2020-01-01,both,indian,7
4651,Putrajaya,2020-01-01,both,indian,23
4674,Johor,2020-01-01,male,indian,1584
4697,Johor,2020-01-01,female,indian,1551
4720,Kedah,2020-01-01,male,indian,670
4743,Kedah,2020-01-01,female,indian,617
4766,Kelantan,2020-01-01,male,indian,11
4789,Kelantan,2020-01-01,female,indian,9
4812,Melaka,2020-01-01,male,indian,281
4835,Melaka,2020-01-01,female,indian,281
4858,NegeriSembilan,2020-01-01,male,indian,961
4881,NegeriSembilan,2020-01-01,female,indian,905
4904,Pahang,2020-01-01,male,indian,270
4927,Pahang,2020-01-01,female,indian,284
4950,Perak,2020-01-01,male,indian,1372
4973,Perak,2020-01-01,female,indian,1250
